CustomerID,Total_Spending,Total_Orders,Total_Products,Average_Order_Value,Recency,Frequency,Monetary,Cluster,Customer_Segment
12346.0,77183.6,1,74215,77183.6,325,1,77183.6,3,Regular Customers
12347.0,4310.0,7,2458,615.7142857142857,1,7,4310.0,0,Occasional Customers
12348.0,1797.24,4,2341,449.31,74,4,1797.24,0,Occasional Customers
12349.0,1757.55,1,631,1757.55,18,1,1757.55,0,Occasional Customers
12350.0,334.4,1,197,334.4,309,1,334.4,1,Low Value Customers
12352.0,2506.04,8,536,313.255,35,8,2506.04,0,Occasional Customers
12353.0,89.0,1,20,89.0,203,1,89.0,1,Low Value Customers
12354.0,1079.4,1,530,1079.4,231,1,1079.4,1,Low Value Customers
12355.0,459.4,1,240,459.4,213,1,459.4,1,Low Value Customers
12356.0,2811.43,3,1591,937.1433333333333,22,3,2811.43,0,Occasional Customers
12357.0,6207.67,1,2708,6207.67,32,1,6207.67,0,Occasional Customers
12358.0,1168.06,2,248,584.03,1,2,1168.06,0,Occasional Customers
12359.0,6310.03,4,1609,1577.5075,57,4,6310.03,0,Occasional Customers
12360.0,2662.06,3,1165,887.3533333333334,51,3,2662.06,0,Occasional Customers
12361.0,189.9,1,91,189.9,286,1,189.9,1,Low Value Customers
12362.0,5226.23,10,2229,522.6229999999999,2,10,5226.23,0,Occasional Customers
12363.0,552.0,2,408,276.0,109,2,552.0,0,Occasional Customers
12364.0,1313.1,4,1506,328.275,7,4,1313.1,0,Occasional Customers
12365.0,641.38,2,174,320.69,290,2,641.38,1,Low Value Customers
12367.0,168.9,1,173,168.9,3,1,168.9,0,Occasional Customers
12370.0,3541.94,4,2352,885.485,50,4,3541.94,0,Occasional Customers
12371.0,1887.96,2,591,943.98,44,2,1887.96,0,Occasional Customers
12372.0,1298.04,3,794,432.68,71,3,1298.04,0,Occasional Customers
12373.0,364.6,1,197,364.6,310,1,364.6,1,Low Value Customers
12374.0,742.9300000000001,1,342,742.9300000000001,24,1,742.9300000000001,0,Occasional Customers
12375.0,457.5,2,178,228.75,10,2,457.5,0,Occasional Customers
12377.0,1628.12,2,944,814.06,314,2,1628.12,1,Low Value Customers
12378.0,4008.62,1,2529,4008.62,129,1,4008.62,0,Occasional Customers
12379.0,852.24,2,407,426.12,81,2,852.24,0,Occasional Customers
12380.0,2724.81,4,1127,681.2025,21,4,2724.81,0,Occasional Customers
12381.0,1845.31,5,808,369.062,4,5,1845.31,0,Occasional Customers
12383.0,1850.56,5,1532,370.11199999999997,184,5,1850.56,1,Low Value Customers
12384.0,585.27,2,126,292.635,28,2,585.27,0,Occasional Customers
12386.0,401.9,2,354,200.95,337,2,401.9,1,Low Value Customers
12388.0,2780.66,6,1462,463.4433333333333,15,6,2780.66,0,Occasional Customers
12390.0,549.84,1,353,549.84,79,1,549.84,0,Occasional Customers
12391.0,439.66,1,293,439.66,21,1,439.66,0,Occasional Customers
12393.0,1582.6000000000001,4,816,395.65000000000003,71,4,1582.6000000000001,0,Occasional Customers
12394.0,1272.48,2,819,636.24,63,2,1272.48,0,Occasional Customers
12395.0,3018.63,12,2118,251.5525,18,12,3018.63,0,Occasional Customers
12397.0,2409.9,2,1263,1204.95,35,2,2409.9,0,Occasional Customers
12398.0,1635.6599999999999,1,1394,1635.6599999999999,45,1,1635.6599999999999,0,Occasional Customers
12399.0,1108.65,4,1178,277.1625,118,4,1108.65,0,Occasional Customers
12401.0,84.3,1,11,84.3,302,1,84.3,1,Low Value Customers
12402.0,225.6,1,94,225.6,322,1,225.6,1,Low Value Customers
12403.0,427.7,1,96,427.7,49,1,427.7,0,Occasional Customers
12405.0,1710.39,1,857,1710.39,148,1,1710.39,1,Low Value Customers
12406.0,3415.3,2,1818,1707.65,21,2,3415.3,0,Occasional Customers
12407.0,1708.1200000000001,5,1416,341.624,49,5,1708.1200000000001,0,Occasional Customers
12408.0,2888.55,5,1409,577.71,32,5,2888.55,0,Occasional Customers
12409.0,11072.67,3,5551,3690.89,78,3,11072.67,0,Occasional Customers
12410.0,693.3299999999999,2,211,346.66499999999996,308,2,693.3299999999999,1,Low Value Customers
12412.0,1226.88,3,829,408.96000000000004,74,3,1226.88,0,Occasional Customers
12413.0,758.1,3,286,252.70000000000002,66,3,758.1,0,Occasional Customers
12414.0,562.41,3,300,187.47,216,3,562.41,1,Low Value Customers
12415.0,124914.53,21,77374,5948.310952380953,23,21,124914.53,2,VIP Customers
12417.0,3649.1,9,1552,405.4555555555555,2,9,3649.1,0,Occasional Customers
12418.0,668.58,1,407,668.58,112,1,668.58,0,Occasional Customers
12420.0,600.39,1,345,600.39,63,1,600.39,0,Occasional Customers
12421.0,807.04,4,484,201.76,15,4,807.04,0,Occasional Customers
12422.0,803.5600000000001,3,370,267.85333333333335,95,3,803.5600000000001,0,Occasional Customers
12423.0,1859.31,8,1339,232.41375,0,8,1859.31,0,Occasional Customers
12424.0,1760.96,2,740,880.48,162,2,1760.96,1,Low Value Customers
12425.0,777.2,1,496,777.2,77,1,777.2,0,Occasional Customers
12426.0,582.73,1,258,582.73,194,1,582.73,1,Low Value Customers
12427.0,825.8,3,533,275.26666666666665,21,3,825.8,0,Occasional Customers
12428.0,7956.46,9,3536,884.0511111111111,25,9,7956.46,0,Occasional Customers
12429.0,3750.4,4,1557,937.6,8,4,3750.4,0,Occasional Customers
12430.0,256.4,1,117,256.4,42,1,256.4,0,Occasional Customers
12431.0,6419.95,15,2896,427.99666666666667,35,15,6419.95,3,Regular Customers
12432.0,5059.32,5,1801,1011.8639999999999,42,5,5059.32,0,Occasional Customers
12433.0,13375.87,7,11071,1910.8385714285716,0,7,13375.87,0,Occasional Customers
12434.0,806.14,2,394,403.07,84,2,806.14,0,Occasional Customers
12435.0,7829.89,2,2055,3914.945,79,2,7829.89,0,Occasional Customers
12436.0,509.01,1,211,509.01,99,1,509.01,0,Occasional Customers
12437.0,4951.41,18,2922,275.0783333333333,1,18,4951.41,3,Regular Customers
12438.0,2906.85,2,1180,1453.425,13,2,2906.85,0,Occasional Customers
12441.0,173.55,1,121,173.55,366,1,173.55,1,Low Value Customers
12442.0,172.06,1,182,172.06,2,1,172.06,0,Occasional Customers
12444.0,5005.46,5,1153,1001.092,20,5,5005.46,0,Occasional Customers
12445.0,133.4,1,62,133.4,21,1,133.4,0,Occasional Customers
12446.0,1002.3100000000001,1,351,1002.3100000000001,57,1,1002.3100000000001,0,Occasional Customers
12447.0,476.49,1,190,476.49,242,1,476.49,1,Low Value Customers
12448.0,449.45,1,243,449.45,43,1,449.45,0,Occasional Customers
12449.0,4067.29,4,1553,1016.8225,21,4,4067.29,0,Occasional Customers
12450.0,197.88,2,128,98.94,155,2,197.88,1,Low Value Customers
12451.0,9035.52,5,6575,1807.104,10,5,9035.52,0,Occasional Customers
12452.0,430.57,2,185,215.285,16,2,430.57,0,Occasional Customers
12453.0,707.09,1,473,707.09,133,1,707.09,0,Occasional Customers
12454.0,3528.34,1,1006,3528.34,55,1,3528.34,0,Occasional Customers
12455.0,2466.86,6,2089,411.1433333333334,72,6,2466.86,0,Occasional Customers
12456.0,3181.04,3,1633,1060.3466666666666,43,3,3181.04,0,Occasional Customers
12457.0,2363.23,7,843,337.6042857142857,65,7,2363.23,0,Occasional Customers
12458.0,947.4,2,506,473.7,70,2,947.4,0,Occasional Customers
12461.0,826.88,2,287,413.44,93,2,826.88,0,Occasional Customers
12462.0,1189.59,2,536,594.795,18,2,1189.59,0,Occasional Customers
12463.0,1344.78,4,776,336.195,52,4,1344.78,0,Occasional Customers
12464.0,1212.05,8,112,151.50625,9,8,1212.05,0,Occasional Customers
12465.0,742.1899999999999,2,479,371.09499999999997,16,2,742.1899999999999,0,Occasional Customers
12468.0,729.5400000000001,2,366,364.77000000000004,187,2,729.5400000000001,1,Low Value Customers
12471.0,19788.65,30,8200,659.6216666666667,1,30,19788.65,3,Regular Customers
12472.0,6572.11,7,4148,938.8728571428571,31,7,6572.11,0,Occasional Customers
12473.0,3928.0499999999997,5,2414,785.6099999999999,28,5,3928.0499999999997,0,Occasional Customers
12474.0,7324.09,18,4833,406.8938888888889,16,18,7324.09,3,Regular Customers
12475.0,723.38,1,535,723.38,53,1,723.38,0,Occasional Customers
12476.0,6816.42,11,2408,619.6745454545454,15,11,6816.42,0,Occasional Customers
12477.0,13219.74,6,3653,2203.29,22,6,13219.74,0,Occasional Customers
12478.0,680.99,1,236,680.99,3,1,680.99,0,Occasional Customers
12479.0,527.2,1,385,527.2,10,1,527.2,0,Occasional Customers
12480.0,3281.63,4,1707,820.4075,27,4,3281.63,0,Occasional Customers
12481.0,5579.82,10,3294,557.982,22,10,5579.82,0,Occasional Customers
12483.0,2484.98,8,1110,310.6225,16,8,2484.98,0,Occasional Customers
12484.0,4527.32,6,2187,754.5533333333333,32,6,4527.32,0,Occasional Customers
12488.0,1298.66,3,529,432.8866666666667,9,3,1298.66,0,Occasional Customers
12489.0,334.93,1,105,334.93,335,1,334.93,1,Low Value Customers
12490.0,5417.93,10,3064,541.793,4,10,5417.93,0,Occasional Customers
12491.0,460.40000000000003,1,260,460.40000000000003,38,1,460.40000000000003,0,Occasional Customers
12492.0,263.21000000000004,2,192,131.60500000000002,62,2,263.21000000000004,0,Occasional Customers
12493.0,433.74,2,207,216.87,165,2,433.74,1,Low Value Customers
12494.0,1246.1000000000001,7,707,178.01428571428573,15,7,1246.1000000000001,0,Occasional Customers
12497.0,1043.1,1,1236,1043.1,81,1,1043.1,0,Occasional Customers
12498.0,403.70000000000005,3,159,134.5666666666667,20,3,403.70000000000005,0,Occasional Customers
12500.0,4257.82,11,2678,387.07454545454544,22,11,4257.82,0,Occasional Customers
